基金代码,基金名称,年化收益率 (%),年化波动率 (%),夏普比率,管理费 (%),最新净值,实时估值,数据来源,综合评分,基金经理,从业年限 (年),现任基金数 (只),前十大持仓,持仓更新日期
216,广发百发100指数,28.05,12.44,2.01,1.5,2.8602,2.8978,pingzhongdata,1.49,N/A,0.0,0,,
628,中欧丰泓沪港深混合,14.6,12.77,0.91,1.5,5.1102,5.1522,pingzhongdata,0.76,N/A,0.0,0,,
1878,兴全合润混合,15.87,19.95,0.65,1.5,2.911,2.9087,pingzhongdata,0.72,N/A,0.0,0,,
1186,富国中证军工指数,14.42,14.63,0.78,1.5,2.956,2.9614,pingzhongdata,0.72,N/A,0.0,0,,
41,华夏大盘精选混合,11.97,15.63,0.57,1.5,1.2882,,pingzhongdata,0.58,N/A,0.0,0,,
1552,兴全轻资产投资混合,12.31,24.85,0.37,1.5,1.163,1.1636,pingzhongdata,0.53,N/A,0.0,0,,
1553,易方达新兴成长灵活配置混合,12.08,24.85,0.37,1.5,1.1376,1.1382,pingzhongdata,0.52,N/A,0.0,0,,
1469,鹏华新能源混合,10.66,17.97,0.43,1.5,1.318,1.3246,pingzhongdata,0.5,N/A,0.0,0,,
2980,博时新能源汽车股票,10.12,23.35,0.31,1.5,3.15,3.1011,pingzhongdata,0.45,N/A,0.0,0,,
457,兴全社会责任混合,9.86,22.58,0.3,1.5,3.184,3.1397,pingzhongdata,0.44,N/A,0.0,0,,
3290,国泰中证全指证券公司ETF,3.46,0.7,0.66,1.5,1.1397,1.1396,pingzhongdata,0.35,N/A,0.0,0,,
